tweet_id,user_name,tweet_text,created_at,location
1,nora_foodie80,What a beautiful day!,2024-01-08,Uganda
2,james_photog29,Traffic is terrible!,2024-03-18,Uganda
3,peter_tech90,Loving the food here!,2024-06-09,Uganda
4,michael_advent13,Loving the food here!,2024-04-18,Uganda
5,lucy_holiday98,Excited about the festival!,2024-11-15,Uganda
6,rose_singer2,Visiting a national park today!,2024-10-27,Uganda
7,susan_writer65,Uganda is so green and peaceful.,2024-12-18,Uganda
8,james_photog81,Enjoying the view of the Nile.,2024-07-09,Uganda
9,uganda_explorer21,Feeling blessed today.,2024-03-28,Uganda
10,grace_kampala54,Enjoying the view of the Nile.,2024-05-04,Uganda
11,peter_tech24,Enjoying the view of the Nile.,2024-06-23,Uganda
12,grace_kampala92,Loving the food here!,2024-10-26,Uganda
13,peter_tech15,Uganda is so green and peaceful.,2024-10-07,Uganda
14,david_farm49,Uganda is so green and peaceful.,2024-08-21,Uganda
15,nora_foodie35,Enjoying the view of the Nile.,2024-08-13,Uganda
16,emma_travels18,Roads are getting better in my city.,2024-06-22,Uganda
17,susan_writer63,Amazing cultural vibes.,2024-10-20,Uganda
18,grace_kampala71,Roads are getting better in my city.,2024-03-20,Uganda
19,nora_foodie52,Amazing cultural vibes.,2024-05-10,Uganda
20,lucy_holiday69,Excited about the festival!,2024-11-26,Uganda
21,peter_tech39,This place has the best coffee.,2024-11-12,Uganda
22,rose_singer90,Uganda is so green and peaceful.,2024-06-07,Uganda
23,john_doe78,Traffic is terrible!,2024-05-03,Uganda
24,rose_singer38,This event is wonderful!,2024-08-05,Uganda
25,peter_tech24,Loving the food here!,2024-11-26,Uganda
26,james_photog12,This event is wonderful!,2024-02-27,Uganda
27,michael_advent7,This event is wonderful!,2024-01-26,Uganda
28,rose_singer79,Amazing cultural vibes.,2024-03-24,Uganda
29,david_farm4,Proud to be Ugandan!,2024-06-08,Uganda
30,peter_tech95,This place has the best coffee.,2024-10-21,Uganda
31,john_doe55,Excited about the festival!,2024-09-16,Uganda
32,paul_kay89,The weather is amazing today.,2024-05-21,Uganda
33,kevin_trends37,Visiting a national park today!,2024-09-14,Uganda
34,paul_kay47,Excited about the festival!,2024-11-23,Uganda
35,james_photog43,What a beautiful day!,2024-11-09,Uganda
36,uganda_explorer70,This place has the best coffee.,2024-03-27,Uganda
37,grace_kampala88,Loving the food here!,2024-09-12,Uganda
38,kevin_trends30,Roads are getting better in my city.,2024-04-06,Uganda
39,kevin_trends10,This place has the best coffee.,2024-08-24,Uganda
40,paul_kay1,This event is wonderful!,2024-03-02,Uganda
41,david_farm27,Roads are getting better in my city.,2024-11-28,Uganda
42,michael_advent67,Uganda is so green and peaceful.,2024-10-14,Uganda
43,nora_foodie46,Loving the food here!,2024-03-28,Uganda
44,john_doe44,Feeling blessed today.,2024-04-10,Uganda
45,nora_foodie16,Roads are getting better in my city.,2024-01-20,Uganda
46,rose_singer25,Excited about the festival!,2024-10-10,Uganda
47,eliza_blogger88,Enjoying the view of the Nile.,2024-12-05,Uganda
48,michael_advent23,Enjoying the view of the Nile.,2024-12-21,Uganda
49,susan_writer8,Visiting a national park today!,2024-08-27,Uganda
50,kevin_trends84,Excited about the festival!,2024-03-14,Uganda
51,emma_travels55,Amazing cultural vibes.,2024-01-14,Uganda
52,susan_writer78,Visiting a national park today!,2024-03-28,Uganda
53,peter_tech40,The sunsets here are breathtaking.,2024-12-21,Uganda
54,uganda_explorer71,Roads are getting better in my city.,2024-03-11,Uganda
55,grace_kampala35,Loving the food here!,2024-05-03,Uganda
56,john_doe4,This event is wonderful!,2024-10-19,Uganda
57,john_doe79,This place has the best coffee.,2024-11-16,Uganda
58,paul_kay58,Loving the food here!,2024-12-10,Uganda
59,peter_tech81,This event is wonderful!,2024-05-26,Uganda
60,michael_advent45,This event is wonderful!,2024-10-12,Uganda
61,susan_writer47,Amazing cultural vibes.,2024-08-18,Uganda
62,michael_advent40,Visiting a national park today!,2024-09-06,Uganda
63,grace_kampala83,Roads are getting better in my city.,2024-08-07,Uganda
64,rose_singer88,Feeling blessed today.,2024-03-17,Uganda
65,rose_singer61,Traffic is terrible!,2024-12-13,Uganda
66,uganda_explorer36,Enjoying the view of the Nile.,2024-01-17,Uganda
67,michael_advent87,This place has the best coffee.,2024-11-02,Uganda
68,david_farm82,The sunsets here are breathtaking.,2024-07-27,Uganda
69,michael_advent91,Roads are getting better in my city.,2024-03-17,Uganda
70,emma_travels76,Uganda is so green and peaceful.,2024-06-03,Uganda
